,Tweet,text,date,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
0,"retweet      guangxi province pingxiang city  china vietnam border town 
breaki…","RT @songpinganq: @Ev1HasAnOpinion @imajollyroger @lunndann @drsimonegold Guangxi province pingxiang city( china-vietnam border town)
Breaki…",Wed Dec 08 04:50:26 +0000 2021,0,0,0,0,0,0,0,0,0,0
1,  please jacob that is the best decision from indonesia  bwf also does not require players to take part in tournaments during this pandemic why are you even like that as if indonesia is disrepectfull then what about china yesterday ,@jacobqvirin @bwfmedia please jacob that is the best decision from Indonesia. BWF also doesn't require players to take part in tournaments during this pandemic why are you even like that as if Indonesia is disrepectfull then what about china yesterday?,Wed Dec 08 06:27:38 +0000 2021,0,0,0,0,0,0,1,0,0,0
2,"the united states and australia will send athletes to compete in the 2022 beijing winter olympics but government officials will not be in attendance in a diplomatic boycott of the event  citing genocide of muslim minorities in china 

nz officials will not attend for coronavirus reasons ","The United States and Australia will send athletes to compete in the 2022 Beijing Winter Olympics but government officials won’t be in attendance in a diplomatic boycott of the event, citing genocide of Muslim minorities in China.

NZ officials won’t attend for Covid reasons.",Wed Dec 08 07:33:19 +0000 2021,0,0,0,0,0,0,0,0,1,0
3,"retweet   bird  flu  outbreak in  china on top of the  coronavirus outbreak     
   h5n1    virus    pathogenic    birdflu    farm…","RT @MicrobesInfo: #Bird #Flu #outbreak in #China on top of the #coronavirus outbreak ... 
| #H5N1 | #virus | #pathogenic | #BirdFlu | #farm…",Wed Dec 08 07:39:12 +0000 2021,0,0,0,0,0,0,0,1,0,0
4," i live here  
came from china for holiday right before pandemic and have never left beaming face with smiling eyes","@irvinethesteve I live here) 
Came from China for holiday right before pandemic and have never left 😁",Wed Dec 08 11:35:27 +0000 2021,0,0,0,0,0,0,0,0,0,1
5,trump floats theory that xi allowed coronavirus to spread — ‘i was doing very well against china’ ,Trump Floats Theory that Xi Allowed Coronavirus to Spread — ‘I Was Doing Very Well Against China’ https://t.co/iNVSv29cX8,Wed Dec 08 19:42:01 +0000 2021,0,0,0,0,0,0,1,1,0,0
6,china will always keep its words ,China will always keep its words https://t.co/EEoitHQ8bs,Sun Jan 02 06:49:23 +0000 2022,0,0,0,0,0,0,1,1,0,0
7,retweet  facing the raging  coronavirus pandemic  china has provided more than 2 billion doses of vaccines to the world  does china ask anyt…,"RT @XHNews: Facing the raging #COVID19 pandemic, China has provided more than 2 billion doses of vaccines to the world. Does China ask anyt…",Sun Jan 02 06:53:30 +0000 2022,0,0,0,0,0,0,0,1,0,0
8,retweet  two years ago this happened in uhan   china  coronavirus ,RT @StephenMcDonell: Two years ago this happened in #Wuhan. #China #COVID19 https://t.co/dFkU2nC4Ro,Sun Jan 02 14:07:20 +0000 2022,0,0,0,0,1,0,1,1,0,0
9,retweet  made in communist china coronavirus home tests… widely mandated to attend school  work  and travel in the usa   thisisfine  …,"RT @RepThomasMassie: Made in Communist China COVID home-tests… widely mandated to attend school, work, and travel in the USA. #thisisfine #…",Sun Jan 02 14:44:26 +0000 2022,0,0,0,0,0,0,0,0,1,0
