Unnamed: 0,id,created_at,text,user_location
42,1312972291332952064,Mon Oct 05 04:26:02 +0000 2020,"#India's #COVID19 tally crosses 66-lakh.  74,442 new cases &amp;  903 deaths  in last 24 hours.
Total case- 66,23,816, active cases- 9,34,427  ,cured/discharged -55,86,703 &amp; total deaths -1,02,685
@MoHFW_INDIA https://t.co/3uuP6BkiBr",India
149,1312972302355558402,Mon Oct 05 04:26:05 +0000 2020,"@narendramodi Talk something about mass unemployment and small scale business forced to shut down, suicide and protest of farmers, violence against women, increasing cases of corona, and more relevant issues rather than these superficial show off things",Mumbai 
162,1312972309032955906,Mon Oct 05 04:26:06 +0000 2020,"RT @hiteshi75: When law is supposed to be similar for everyone in the society, why no Parole to #Bapuji and #NarayanSai ji even during coro…","Bihar, India"
260,1312972316142256128,Mon Oct 05 04:26:08 +0000 2020,"RT @Sowmyareddyr: Oh did we miss any plate banging, madam? 

We are going to hit No1 soon (in a week) thanks to the supreme leaders and you…","Bengaluru, India"
402,1312972335188647937,Mon Oct 05 04:26:13 +0000 2020,"RT @parthomishra: Amid #COVID19, teachers have helped provide remote learning, support vulnerable children, and more. . Let us show our gra…","Karimnagar,Telangana,India"
419,1312972341568102401,Mon Oct 05 04:26:14 +0000 2020,RT @preetikhatri22: We need educated Prime Minister like 👇👇👇,Union Of India
452,1312972339856896005,Mon Oct 05 04:26:14 +0000 2020,"RT @pbhushan1: Covid or not, police &amp; UP Sarkar will allow public meeting of upper caste men in support of rape accused, while denying even…",New Delhi
564,1312972357611339777,Mon Oct 05 04:26:18 +0000 2020,"RT @nidhish48802983: Former minister Gayatri Prajapati, accused in a gang rape case got bail due to Corona, but innocent Sant Shri Asharamj…","Nagpur Maharashtra, India"
690,1312972369581895685,Mon Oct 05 04:26:21 +0000 2020,"RT @NTR_King_Of_TFI: #RRRMovie shoot resumes from today in Hyd, Actors to be in Self quarantine for few days ...

#KomaramBheemEuphoriaSoon…","Chilakaluripet, India"
774,1312972381741342722,Mon Oct 05 04:26:24 +0000 2020,"India COVID-19 count crosses 65 lakh mark, recovery rate at 84.13 per cent https://t.co/QkOPz1S9yl",Mumbai
807,1312972382038974465,Mon Oct 05 04:26:24 +0000 2020,"@goairlinesindia Why? I had booked tickets which were cancelled due to lockdown. Now as per the new ruling, credit shell amount is transferable. Am I wrongly informed regarding this?","Alipurduar, West Bengal"
948,1312972407888470017,Mon Oct 05 04:26:30 +0000 2020,RT @news18dotcom: The Maharashtra government had on Saturday issued Covid-19 safety guidelines for restaurants and other eateries which wer…,India
959,1312972408865742848,Mon Oct 05 04:26:30 +0000 2020,"RT @LeenaAgrawal11: When law is supposed to be similar for everyone in the society, why no Parole to #Bapuji and #NarayanSai ji even during…","Bengaluru, India"
1031,1312972411126464512,Mon Oct 05 04:26:31 +0000 2020,"RT @kovaidaily: The Goods and Service Tax (GST) collection of Tamil Nadu increased to ₹6,454 crore in September 2020, according to the data…","Coimbatore, Tamil Nadu, India"
1090,1312972425370300418,Mon Oct 05 04:26:34 +0000 2020,"RT @HealthwireMedia: Covid-19 Positive Donald Trump Leaves Hospital Briefly To Greet Supporters

#DonaldTrump #TrumpHasCovid #trumptestspos…","New Delhi, India"
1091,1312972423025709056,Mon Oct 05 04:26:34 +0000 2020,"RT @cmcomonman: Educational institutions remained closed. Wines are wide opened. Students are forced to consume alcohol.

This is the situa…",India
1166,1312972436212654080,Mon Oct 05 04:26:37 +0000 2020,"Covid-19 has a longer shadow over US presidential polls, beyond getting Trump https://t.co/8jFS5CgdtB @DeccanHerald #donaldtrumpcovid #DonaldTrump #TrumpCovid19 #US #PresidentialDebate2020 #USElection2020 #USElections2020 #COVID19 #JoeBiden #DonaldTrump #Election2020 #coronavirus",New Delhi
1171,1312972432085401601,Mon Oct 05 04:26:36 +0000 2020,RT @venadavenu: How does one thank a friend who’s been a constant healing presence especially during lockdown? I now understand the feeling…,"Bhopal and Bengaluru, India"
